antecedent,consequent,confidence,lift
['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple'],['Sri Chiang Mai Community Health Park>Naga Courtyard'],0.820987654,3.056320029
['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple'],['Naga Courtyard>Sri Chiang Mai Community Health Park'],0.912393162,3.033528401
['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple'],['Sri Chiang Mai Community Health Park>Sri Chiang Mai Community Health Park'],0.825973409,2.131339457
['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple'],['In front of Had Pathum Temple>Naga Courtyard'],0.887226971,3.156326109
['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple'],['In front of Fresh Market>In front of Fresh Market'],0.812440646,2.095077414
"['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple', 'Sri Chiang Mai Community Health Park>Naga Courtyard']",['Naga Courtyard>Sri Chiang Mai Community Health Park'],0.993637941,3.303651363
"['In front of Had Pathum Temple>Naga Courtyard', 'Naga Courtyard>Sri Chiang Mai Community Health Park']",['Sri Chiang Mai Community Health Park>Naga Courtyard'],0.888832228,3.308887446
"['In front of Had Pathum Temple>Naga Courtyard', 'Naga Courtyard>Sri Chiang Mai Community Health Park']",['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple'],0.930137685,3.558019558
['Naga Courtyard>Sri Chiang Mai Community Health Park'],['Sri Chiang Mai Community Health Park>Sri Chiang Mai Community Health Park'],0.817581511,2.109685025
['Naga Courtyard>Sri Chiang Mai Community Health Park'],['Naga Courtyard>Naga Courtyard'],0.731324804,2.323167437
['Naga Courtyard>Sri Chiang Mai Community Health Park'],['In front of Fresh Market>In front of Fresh Market'],0.757325629,1.95294983
['Naga Courtyard>Sri Chiang Mai Community Health Park'],['In front of Had Pathum Temple>Naga Courtyard'],0.80932728,2.879196542
['Naga Courtyard>Sri Chiang Mai Community Health Park'],['Sri Chiang Mai Community Health Park>Naga Courtyard'],0.864424267,3.218023058
['Naga Courtyard>Sri Chiang Mai Community Health Park'],['Sri Chiang Mai Community Health Park>In front of Had Pathum Temple'],0.793025175,3.033528401
['Sri Chiang Mai Community Health Park>Naga Courtyard'],['Naga Courtyard>Sri Chiang Mai Community Health Park'],0.967883549,3.218023058
['Sri Chiang Mai Community Health Park>Naga Courtyard'],['Sri Chiang Mai Community Health Park>Sri Chiang Mai Community Health Park'],0.85512939,2.206573468
['Sri Chiang Mai Community Health Park>Naga Courtyard'],['In front of Had Pathum Temple>Naga Courtyard'],0.814001848,2.895826404
